Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
Europe & Middle East (Group 2),FIN,Finland,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 2),FIN,Finland,(Paid UA) D7 ARPPU,4.000,good,All genres,
Europe & Middle East (Group 2),FIN,Finland,Revenue Potential,0.001,,All genres,
Europe & Middle East (Group 2),BGR,Bulgaria,(Paid UA) CPP,3.000,medium,All genres,
Europe & Middle East (Group 2),BGR,Bulgaria,(Paid UA) D7 ARPPU,2.000,bad,All genres,
Europe & Middle East (Group 2),BGR,Bulgaria,Revenue Potential,0.001,,All genres,
Europe & Middle East (Group 2),SVK,Slovakia,(Paid UA) CPP,3.000,medium,All genres,
Europe & Middle East (Group 2),SVK,Slovakia,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 2),SVK,Slovakia,Revenue Potential,0.000,,All genres,
Europe & Middle East (Group 2),HRV,Croatia,(Paid UA) CPP,2.000,good,All genres,YES
Europe & Middle East (Group 2),HRV,Croatia,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
Europe & Middle East (Group 2),HRV,Croatia,Revenue Potential,0.000,,All genres,YES
Europe & Middle East (Group 2),SRB,Serbia,(Paid UA) CPP,5.000,bad,All genres,
Europe & Middle East (Group 2),SRB,Serbia,(Paid UA) D7 ARPPU,2.000,bad,All genres,
Europe & Middle East (Group 2),SRB,Serbia,Revenue Potential,0.001,,All genres,
Europe & Middle East (Group 2),BLR,Belarus,(Paid UA) CPP,2.000,good,All genres,
Europe & Middle East (Group 2),BLR,Belarus,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 2),BLR,Belarus,Revenue Potential,0.000,,All genres,
Europe & Middle East (Group 2),LTU,Lithuania,(Paid UA) CPP,3.000,medium,All genres,
Europe & Middle East (Group 2),LTU,Lithuania,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 2),LTU,Lithuania,Revenue Potential,0.000,,All genres,
Europe & Middle East (Group 2),LVA,Latvia,(Paid UA) CPP,3.000,medium,All genres,
Europe & Middle East (Group 2),LVA,Latvia,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 2),LVA,Latvia,Revenue Potential,0.000,,All genres,
Europe & Middle East (Group 2),SVN,Slovenia,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 2),SVN,Slovenia,(Paid UA) D7 ARPPU,4.000,good,All genres,
Europe & Middle East (Group 2),SVN,Slovenia,Revenue Potential,0.000,,All genres,
Europe & Middle East (Group 2),EST,Estonia,(Paid UA) CPP,4.000,bad,All genres,YES
Europe & Middle East (Group 2),EST,Estonia,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
Europe & Middle East (Group 2),EST,Estonia,Revenue Potential,0.000,,All genres,YES
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) CPP,2.000,good,All genres,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) D7 ARPPU,2.000,bad,All genres,
Global Developing Markets,All countries,Global Developing Markets,Revenue Potential,0.045,,All genres,
Global Developing Markets,BRA,Brazil,(Paid UA) CPP,1.000,good,All genres,
Global Developing Markets,BRA,Brazil,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,BRA,Brazil,Revenue Potential,0.016,,All genres,
Global Developing Markets,THA,Thailand,(Paid UA) CPP,1.000,good,All genres,YES
Global Developing Markets,THA,Thailand,(Paid UA) D7 ARPPU,2.000,bad,All genres,YES
Global Developing Markets,THA,Thailand,Revenue Potential,0.009,,All genres,YES
