Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
Europe & Middle East (Group 2),PRT,葡萄牙,0.002,0.003,11.01,匹配类
Europe & Middle East (Group 2),HUN,匈牙利,0.001,0.001,10.33,匹配类
Europe & Middle East (Group 2),FIN,芬兰,0.002,0.002,15.69,匹配类
Europe & Middle East (Group 2),BGR,保加利亚,0.001,0.001,9.89,匹配类
Europe & Middle East (Group 2),SVK,斯洛伐克,0.001,0.001,13.23,匹配类
Europe & Middle East (Group 2),HRV,克罗地亚,0.001,0.001,14.50,匹配类
Europe & Middle East (Group 2),SRB,塞尔维亚,0.001,0.001,14.85,匹配类
Europe & Middle East (Group 2),BLR,白俄罗斯,0.000,0.001,6.16,匹配类
Europe & Middle East (Group 2),LTU,立陶宛,0.000,0.001,12.04,匹配类
Europe & Middle East (Group 1),DEU,德国,0.057,0.051,8.62,匹配类
Europe & Middle East (Group 1),FRA,法国,0.025,0.027,5.06,匹配类
Europe & Middle East (Group 1),ITA,意大利,0.014,0.018,5.26,匹配类
Europe & Middle East (Group 1),ESP,西班牙,0.010,0.009,6.95,匹配类
Europe & Middle East (Group 1),NLD,荷兰,0.009,0.010,9.96,匹配类
Europe & Middle East (Group 1),CHE,瑞士,0.008,0.006,20.63,匹配类
Europe & Middle East (Group 1),AUT,奥地利,0.006,0.005,13.93,匹配类
Europe & Middle East (Group 1),BEL,比利时,0.004,0.006,13.19,匹配类
Europe & Middle East (Group 1),SWE,瑞典,0.006,0.006,12.53,匹配类
Europe & Middle East (Group 1),ISR,以色列,0.002,0.003,18.09,匹配类
Europe & Middle East (Group 1),NOR,挪威,0.004,0.004,15.61,匹配类
Europe & Middle East (Group 1),ARE,阿联酋,0.002,0.003,14.80,匹配类
Europe & Middle East (Group 1),DNK,丹麦,0.003,0.004,12.33,匹配类
Europe & Middle East (Group 1),KWT,科威特,0.001,0.001,21.89,匹配类
Europe & Middle East (Group 1),QAT,卡塔尔,0.001,0.000,25.18,匹配类
East Asia Pacific,KOR,韩国,0.043,0.033,7.63,匹配类
East Asia Pacific,JPN,日本,0.057,0.057,8.51,匹配类
East Asia Pacific,TWN,中国台湾,0.007,0.007,10.99,匹配类
East Asia Pacific,HKG,中国香港,0.003,0.000,20.82,匹配类
East Asia Pacific,SGP,新加坡,0.003,0.002,16.59,匹配类
US and English Language,USA,美国,0.198,0.251,37.90,角色扮演类
US and English Language,GBR,英国,0.017,0.031,24.28,角色扮演类
US and English Language,CAN,加拿大,0.016,0.023,32.83,角色扮演类
US and English Language,AUS,澳大利亚,0.013,0.014,35.69,角色扮演类
US and English Language,NZL,新西兰,0.002,0.003,25.30,角色扮演类
US and English Language,IRL,爱尔兰,0.001,0.001,32.20,角色扮演类
LATAM Spanish Speaking,MEX,墨西哥,0.004,0.003,12.97,角色扮演类
LATAM Spanish Speaking,CHL,智利,0.002,0.001,11.22,角色扮演类
LATAM Spanish Speaking,COL,哥伦比亚,0.001,0.001,10.20,角色扮演类
LATAM Spanish Speaking,ARG,阿根廷,0.000,0.001,10.29,角色扮演类
LATAM Spanish Speaking,PER,秘鲁,0.001,0.001,12.36,角色扮演类
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.000,29.79,角色扮演类
Global Developing Markets,BRA,巴西,0.010,0.007,12.30,角色扮演类
Global Developing Markets,THA,泰国,0.039,0.017,15.16,角色扮演类
Global Developing Markets,IDN,印度尼西亚,0.014,0.011,15.03,角色扮演类
Global Developing Markets,VNM,越南,0.011,0.032,22.79,角色扮演类
Global Developing Markets,PHL,菲律宾,0.014,0.006,14.79,角色扮演类
Global Developing Markets,IND,印度,0.001,0.002,15.27,角色扮演类
Global Developing Markets,MYS,马来西亚,0.006,0.006,17.91,角色扮演类
Global Developing Markets,ZAF,南非,0.001,0.001,15.27,角色扮演类
Global Developing Markets,KAZ,哈萨克斯坦,0.001,0.001,14.38,角色扮演类
Europe & Middle East (Group 2),RUS,俄罗斯,0.012,0.019,22.59,角色扮演类
Europe & Middle East (Group 2),TUR,土耳其,0.005,0.004,16.86,角色扮演类
Europe & Middle East (Group 2),POL,波兰,0.004,0.008,17.09,角色扮演类
Europe & Middle East (Group 2),SAU,沙特阿拉伯,0.002,0.003,33.87,角色扮演类
